Bishtpala-Outer-Reef,Bishtpala Outer Reef
Costadel-Sol,Costa del Sol
The-Pier_1,El Muelle - The Pier
El-Zonte,El Zonte
El-Zunzal,El Zunzal
Fishermans-Point,Fishermans Point
Kilometer59and61,K59 and 61
Rio-Grande-La-Bocana,La Bocana
La-Paz,La Paz
Las-Flores,Las Flores
Los-Cabanos,Los Cobanos
Mizata,Mizata
Playa-San-Diego,Playa San Diego
Punta-Mango,Punta Mango
Punta-Roca_1,Punta Roca
Ristna-Hiiumaa-Island,Ristna Hiiumaa Island
Berthas-Beach,Bertha's Beach
Concordia-Bay,Concirdia Bay
Cow-Bay-1,Cow Bay
Elephant-Beach,Elephant Beach
Surf-Bay,Surf Bay
Husavik-Shorey-Sandoy,Húsavik Shorey (Sandoy)
Tjornuvik-Bay,Tjornuvik Bay (Streymoy)
Beachouse,Beachouse
Daku,Daku
Frigates,Frigates
Hideaway,Hideaway
King-Kong-Left,King Kong Left
King-Kong-Right,King Kong Right
Lighthouse,Lighthouse
Pipes,Pipes
Serua-Rights,Serua Rights
Typhoon-Alley,Typhoon Alley
Uatotoka,Uatotoka
Vesi-Passage,Vesi Passage
Vunaniu,Vunaniu
Waidroka,Waidroka
Cloudbreak,Cloudbreak
Desperations,Desperations
Namotu-Lefts,Namotu Lefts
Restaurants,Restaurants
Swimming-Pools,Swimming Pools
Tavarua-Rights,Tavarua Rights
Wilkes-Pass,Wilkes Pass
Kia-Island-Reef,Kia Island Reef
Lulus-Bend,Lulus Bend
Momi-Bay,Momi Bay
Natadola-Beach,Natadola Beach
Sigatoka-Rivermouth,Sigatoka Rivermouth
Poliisinlahti,Poliisinlahti
Tulliniemi,Tulliniemi (Hanko)
Yyteri-Bay,Yyteri Bay
Beg-Leguer,Beg Leguer
Cap-Frehel,Cap Frehel
Les-Sablesd-Or,Les Sables d'Or
Pleherel,Pleherel
Pors-Nevez,Pors Nevez
Port-Goret-Treveneuc,Port Goret Treveneuc
Tregastel-Plage,Tregastel Plage
Trestraou,Trestraou
Trestrignel,Trestrignel
Aber-Wrac-h-Point,Aber Wrac'h Point
Anael,Anael
Ansede-Cabestan,Anse de Cabestan
Ansede-Lesconil,Anse de Lesconil
Anse-de-Pen-hat,Anse de Pen-Hat
Audierne,Audierne
Baiede-Dournenez,Baie de Douarnenez
Baiedes-Trepasses,Baie des Trepasses
Beg-An-Tour,Beg An Tour
Blancs-Sablons,Blancs Sablons
Capdela-Chevre,Cap de la Chevre
Talbosse,Dalbosc'h
Deolen,Deolen
Goulien,Goulien
Gwendrez,Gwendrez Left
Kerloch,Kerloch
Kerlouan,Kerlouan
Kersiguenno,Kersiguenno
L-Ile-Aux-Vaches-Lervily,L'Ile Aux Vaches – Lervily
La-Chapelle,La Chapelle
La-Palue,La Palue
Les-Sables-Blancs-La-Plate,La Plate
Pointdela-Torche,La Torche
Lampaul-Plouarzel,Lampaul Plouarzel
Lampaul-Ploudalmezeau,Lampaul Ploudalmezeau
Le-Dossen,Le Dossen
Le-Goudoul,Le Goudoul
Gouerou_1,Le Gouerou
le-Guet,Le Guet
Lekerou,Le Kerou
Le-Letty,Le Letty
Le-Petit-Minou,Le Petit Minou
Le-Riz,Le Ris
Le-Triangle,Le Triangle
Le-Veryac-h,Le Veryac'h
Les-Roches-Blanches-le-Leyde,Les Roches Blanches
Les-Sables-Blancs,Les Sables Blancs
Lesconil,Lesconil
Locquirec,Locquirec
Lostmarc-h,Lostmarc'h
Mauvaise-Greve,Mauvaise Greve
Moulin-La-Rive,Moulin La Rive
Pen-had,Pen-Hat
Penfoul,Penfoul
Penhors,Penhors
Pentrez-Plage,Pentrez Plage
Plagede-Guendrez,Plage de Gwendrez
Plage-de-Mesperleuc,Plage de Mesperleuc (Le Grand)
Pors-Peron,Plage de Pors Peron
Plage-L-Aber,Plage L'Aber
Plovan,Plovan
Pointe-De-Dinan,Pointe De Dinan
Pointede-Lervily,Pointe de Lervily
Pointde-Leyde,Pointe de Leyde
Pointe-du-Milier,Pointe du Milier
Pointdu-Toulinget,Pointe du Toulinguet
Pors-Ar-Vag,Pors Ar Vag
Pors-Ar-Ville,Pors Ar Ville
Pors-Carn,Pors Carn
Porz-Naye,Pors Naye
Pors-Poulhan,Pors Poulhan
Pors-Theolen,Pors Theolen
Porsmilin,Porsmilin
Postollonec,Postollonec
Poul-Rodou,Poul Rodou
Prima-Tregastel,Prima Tregastel
Rocher-de-Coulinec,Rocher de Coulinec
Saint-Jeande-Doigt,St Jean de Doigt
Saint-Tugen,St Tugen
Ste-Anne-La-Palud,Ste Anne La Palud
Tregana,Tregana
Treustel,Treustel
Trez-Bellec-Plage,Trez Bellec Plage
Trez-Hir,Trez Hir
Tronoen,Tronoen
Dame-Jouanne,Dame Jouanne
Fremur,Fremur
La-Garde-Guerin,La Garde Guerin
Le-Sillon,Le Sillon
Longchamps,Longchamps
Belle-Ile,Belle Ile
Les-Donnants_Belle-Ile,Belle Ile - Les Donnants
Etel,Etel
Guidel-Plages,Guidel Plages
Kaolin,Kaolin
Kerhillio,Kerhillio
Kirminhy,Kirminhy
Larmor-Plage,Larmor Plage
Le-Fort-Bloque,Le Fort Bloque
Le-Fozo,Le Fozo
Les-Crevettes-Ste-Barbe,Les Crevettes Ste Barbe
Les-Moules,Les Moules
Penthievre,Penthievre
Pic-Kipu,Pic Kipu
Plagedu-Loch,Plage du Loch
Plouharnel-La-Guerite-Tata-Beach,Plouharnel La Guerite Tata Beach
Pointedu-Couregan,Pointe du Couregan
Port-Bara,Port Bara
Port-Blanc,Port Blanc
Port-Rhu,Port Rhu
Sainte-Barbe,Ste Barbe
Thoulars,Thoulars
Aytre-Lopette-Beach,Aytre Lopette
Chassiron_Ile-D-Oleron,Ile d'Oleron - Chassiron
Oleron-Grand-Village,Ile d'Oleron - Grand Village
La-Cotiniere_Ile-D-Oleron,Ile d'Oleron - La Cotiniere
Oleron-Les-Boulassiers,Ile d'Oleron - Les Boulassiers
Les-Huttes,Ile d'Oleron - Les Huttes
Los-Trois-Pierres_Les-Huttes,Ile d'Oleron - Les Trois Pierres
Passe-du-Trillou,Ile d'Oleron - Passe du Trillou
Saint-Denis_Ile-D-Oleron,Ile d'Oleron - St Denis
Saint-Trojan_Ile-D-Oleron,Ile d'Oleron - St Trojan
Oleron-Vert-Bois-Les-Allassins,Ile d'Oleron - Vert Bois/Les Allassins
La-Couarde-Mer_Ilede-Re,Ile de Re - La Couarde/Mer
Ile-de-Re-Le-Gouyot,Ile de Re - Le Gouyot
Ile-de-Re-Le-Lizay,Ile de Re - Le lizay
Ile-de-Re-Les-Grenettes,Ile de Re - Les Grenettes
Ile-de-Re-Petit-Bec,Ile de Re - Petit Bec
Ile-de-re-Rivedoux,Ile de Re - Rivedoux
La-Cote-Sauvage,La Cote Sauvage
Cote-Sauvage-la-Pointe-Espagnole,La Cote Sauvage - La Pointe Espagnole
Cote-Sauvage-Le-27,La Cote Sauvage - Le 27
Cote-Sauvage-Le-43,La Cote Sauvage - Le 43
Cote-Sauvage-Le-46,La Cote Sauvage - Le 46
Cote-Sauvage-Le-47,La Cote Sauvage - Le 47
Cote-Sauvage-Phare-de-la-Coubre-Lighthouse,La Cote Sauvage - Le Sémaphore
Nauzan,Nauzan
Pontaillac,Pontaillac
St-Georges-de-Didonne-la-Jetee,St Georges de Didonne
Suzac,Suzac
Bobby-s,Bobby's
Cap-Ferret,Cap Ferret
Carcans-Plage,Carcans Plage
Dead-Zone,Dead Zone
Hourtin-Plage,Hourtin Plage
L-Amelie,L'Amelie
La-Chambrette,La Chambrette
La-Garonne-1,La Garonne
La-Jenny,La Jenny
La-Lagune,La Lagune
La-Salie,La Salie
La-Torchere_1,La Torchere
Lacanau-Supersud,Lacanau - Supersud
Lacanau-Ocean,Lacanau Ocean
Le-Cimetiere-1,Le Cimetiere
Le-Grand-Crohot,Le Grand Crohot
Le-Gurp,Le Gurp
Lepetit-Train,Le Petit Train
Le-Pin-Sec,Le Pin Sec
Le-Porge,Le Porge
Le-Sail-Fish,Le Sail Fish
Le-Truc-Vert,Le Truc Vert
Le-Verdon,Le Verdon
Montalivetles-Bains,Montalivet-les-Bains
Soulacsur-Mer,Soulac-sur-Mer
Anglet-Chambre-d-Amour,Anglet - Chambre d'Amour
Anglet-Corsaires,Anglet - Corsaires
Anglet-L-Ocean,Anglet - L'Ocean
Anglet-La-Barre,Anglet - La Barre
Anglet-Madrague,Anglet - La Madrague
La-Barre,Anglet - La Petite Barre
Anglet-Petite-Madrague,Anglet - La Petite Madrague
Anglet-La-Piscine,Anglet - La Piscine
Anglet-Le-Club,Anglet - Le Club
Le-Furoncle-La-Barre,Anglet - Le Furoncle
Anglet-Les-Cavaliers,Anglet - Les Cavaliers
Anglet-Les-Dunes,Anglet - Les Dunes
Anglet-Les-Sables-d-Or,Anglet - Les Sables d'Or
Anglet-Marinella,Anglet - Marinella
V-V-F,Anglet - VVF
Belharra,Belharra
Cotedes-Basques,Biarritz - Cote des Basques
Grande-Plage,Biarritz - Grande Plage
Bidart,Bidart
Erromardie,Erromardie
Cenitz,Guethary - Cenitz
Les-Alcyons-Avalanche,Guethary - Les Alcyons/Avalanche
Parlementia,Guethary - Parlementia
Hendaye-Plage,Hendaye Plage
I-Ibarritz,IIbarritz
Ilbaritz-Bora-Bora,Ilbaritz - Bora Bora
Ilbaritz-Edouard-V-I-I,Ilbaritz - Edouard VII
Ilbaritz-Marbella,Ilbaritz - Marbella
Lafitenia,Lafitenia
Le-Port-1,Le Port
Plage-de-Mayarco,Plage de Mayarco
Ciboure,St Jean de Luz - Ciboure
La-Bougie,St Jean de Luz - La Bougie
Sainte-Barbe-Biarritz,St Jean de Luz - Sainte Barbe
Socoa,St Jean de Luz - Socoa
Vanthrax,Vanthrax
Arna-Plage,Arna Plage
Biscarosse-Plage,Biscarosse Plage
Boucau,Boucau
Cap-de-l-Homy,Cap de l'Homy
La-Piste,Capbreton - La Piste
Capbreton-La-Pointe,Capbreton - La Pointe
Capbreton-Le-Prevent,Capbreton - Le Prevent
Le-Santocha,Capbreton - Le Santocha
Contis-Plage,Contis plage
La-Centrale,Hossegor - La Centrale
La-Graviere,Hossegor - La Graviere
La-Nord,Hossegor - La Nord
La-Sud,Hossegor - La Sud
Les-Culs-Nuls,Hossegor - Les Culs Nuls
L-Epi-Nord,L'Epi Nord
La-Lette-Blanche,La Lette Blanche (Vieille Saint Girons)
Labenne-Ocean,Labenne Ocean
Messanges,Messanges
Mimizan,Mimizan
Moliets-Plage,Moliets Plage
Mongrels,Mongrels
Ondres-Plage,Ondres Plage
Portd-Albret,Port d'Albret
Saint-Girons,Saint Girons Plage
Le-Penon,Seignosse - Le Penon
Les-Bourdaines,Seignosse - Les Bourdaines
Plage-Des-Casernes,Seignosse - Les Casernes
Les-Casernes,Seignosse - Les Casernes
Les-Estagnots,Seignosse - Les Estagnots
Tarnos,Tarnos - La Digue
Vieux-Boucau,Vieux Boucau
West-Peak,West Peak
Grande-Trait,Grande Trait
La-Courance,La Courance
La-Govelle,La Govelle
Plage-Valentin,Plage Valentin
Pornichet,Pornichet
Prefaille,Prefailles
Radede-Croisic,Rade de Croisic
St-Brevin-l-Ermitage,St Brevin l'Ermitage
Saint-Marguerite,Ste Marguerite
Agosta,Agosta
Algajola,Algajola
Arone,Arone
Campo-del-Oro,Campo dell Oro
Capodi-Feno,Capo di Feno
Cargese,Cargese
Etang-de-l-Ovu-Santu,Etang de l'Ovu Santu
Figari,Figari
L-Ostriconi,L'Ostriconi
Le-Pain-de-Sucre,Le Pain de Sucre
Ruppione,Le Ruppione
Lozari-Beach,Lozari Beach
Lumio-26-Aout,Lumio
Nouveau-Cimetiere-Corsica,Nouveau Cimetière
Parata-Point,Parata Point
Pinarellu,Pinarellu
Portigliolo,Portigliolo
Punta-di-Testa,Punta di Testa
Sagone,Sagone
Sainte-Restitude,Sainte Restitude
Vardiolla,Vardiolla
Almanarre,Almanarre
Almanarre-Le-Petit-Port,Almanarre - Le Petit Port
Fort-Carre,Antibes - Fort Carre
Keller-Antibes,Antibes - Plage Keller
Menton-Baie-du-Soleil,Baie du Soleil
Bandol,Bandol - Les Nervis
Beaulieu-sur-Mer,Beaulieu sur Mer
La-Cigale,Beauvallon - La Cigale
Six-Fours,Brutal Beach - Six Fours
Cannes,Cannes
Cap-3000,Cap 3000
Cap-Rousset,Cap Rousset
Cap-Saint-Louis,Cap St Louis
Carro,Carro
L-Arene,Cassis - Plage de l'Arène
Ciotel,Ciotel
Fabregas,Fabregas
Galiote,Galiote
Gigaro,Gigaro
Embiez-Le-Phare,Ile des Embiez - Le Phare
Ile-St-Honorat,Ile St Honorat
Ile-Ste-Marguerite,Ile Ste Marguerite
L-Arene-Cros,L'Arene Cros
L-Arquet,L'Arquet
L-Escale-Borely,L'Escale Borely
L-Hermitage,L'Hermitage
L-Hippodrome,L'Hippodrome
L-Olivette,L'Olivette
La-Ciotat,La Ciotat
La-Couronne,La Couronne
La-Faviere,La Faviere
La-Garonne,La Garonne
La-Marina-1,La Marina
La-Nartelle,La Nartelle
La-Paillotte,La Paillotte
Le-Lavandou,Le Lavandou
Le-Lido,Le Lido
Le-Liouquet,Le Liouquet
Le-Manege,Le Manege
Le-Niel-Giens,Le Niel Giens
Le-Port-2,Le Port
Les-Bormettes,Les Bormettes
Les-Douaniers,Les Douaniers
Les-Laurons-Centrale-Edf,Les Laurons
Grande-Plage-des-Lecques,Les Lecques
Les-Sablettes-2,Les Sablettes
Cannes-l-arospatiale,Mandelieu l'Aerospatiale
Boutofolle,Marseille - Boutofolle
Colombet,Marseille - Colombet
La-Verrerie,Marseille - La Verrerie
Le-Prado,Marseille - Le Prado
Nice,Nice
Palm-Beach-2,Palm Beach
Plage-du-Verdon,Plage du Verdon
Portissol,Portissol
Saintes-Maries,Saintes Maries
Sausset-Les-Pins,Sausset les Pins
St-Jean-1,St Jean
St-Laurentdu-Var,St Laurent du Var
Tamaris,Tamaris
Toulon,Toulon
Villefranche-Sur-Mer,Villefranche sur Mer
Argeles-Sur-Mer,Argelès-Sur-Mer
Banyuls-Sur-Mer,Banyuls
Canet-Plage,Canet Plage - Pont des Basses
Collioure-Bay,Collioure
Gruissan-Plage,Gruissan Plage
La-Chapelle-1,La Chapelle
La-Grande-Motte,La Grande Motte
La-Guillotine,La Guillotine
Le-Mail,Le Mail
Le-Racou,Le Racou
Les-Ayguades,Les Ayguades
Les-Roquilles,Les Roquilles
Maguelone,Maguelone
Narbonne-Plage,Narbonne Plage
Palavas-Le-Prevost,Palavas - La Mairie
Palavasles-Flots,Palavas les Flots
St-Cyprien,St Cyprien
Audreselles,Audreselles
Berck-Sur-Mer,Berck Sur Mer
Cap-Blanc-Nez,Cap Blanc Nez
Cap-Griz-Nez,Cap Gris Nez
Dunkerque,Dunkerque
Mers-Les-Bains,Mers-les-Bains
Oye-Plage-Escardines,Oye Plage Escardines
Point-eaux-Oies,Pointe aux Oies
Sangatte,Sangatte
Tardinghen,Tardinghen
Terminus-Berck,Terminus Berck
Wimereux-1,Wimereux
Wissant,Wissant
Ansede-Vauville,Anse de Vauville
L-Ansedu-Brick,Anse du Brick
Anse-st-Martin,Anse St Martin
Baubigny,Baubigny
Berneval,Berneval
Biville,Biville
Bretteville,Bretteville
Carolles,Carolles
Carteret,Carteret
Collignon,Collignon
Courseulles-Sur-Mer,Courseulles Sur Mer
Deauville,Deauville
Dielette-Harbour,Dielette Harbour
Dielette-Left,Dielette Left
Dielette-Shore-Break,Dielette Shore Break
Ecalgrain,Ecalgrain
Etretat,Etretat
Fecamp,Fecamp
Fort-de-Saint-Germain-Des-Vaux,Fort de St Germain Des Vaux
La-Crecque,La Crecque
La-Mondree,La Mondree
Le-Grand-Large,Le Grand Large
Le-Havre-Beach,Le Havre Beach
Les-Petits-Dalles,Le Petits Dalles
Le-Poux,Le Poux
Le-Rozel,Le Rozel
Les-Cous-Cous,Les Cous Cous
Luc-Sur-Mer,Luc Sur Mer
Nez-Bayard,Nez Bayard
Pourville-1,Pourville
Sainte-Adresse,Sainte Adresse
Sciotot,Sciotot
Siouville,Siouville
Trouville,Trouville
Vaucottes,Vaucottes
Veules-Les-Roses,Veules Les Roses
Yport,Yport
Bud-Bud,Bud Bud
Ilede-Noirmoutier,Ile de Noirmoutier
Ile-de-Noirmoutier-Barbatre,Ile de Noirmoutier - Barbatre
L-Aubraie,L'Aubraie
La-Baie-Des-Sables,La Baie Des Sables
La-Sauzaie,La Sauzaie
La-Terriere,La Terriere
La-Tranchesur-Mer,La Tranche sur Mer
Le-Club,Le Club
Le-Phare-du-Groin-du-Cou,Le Phare du Groin du Cou
Les-Conches,Les Conches
Les-Dunes,Les Dunes
Plage-Des-Granges,Plage Des Granges
Saint-Nicholas,Saint Nicolas
Sauveterre,Sauveterre
Sion,Sion sur l'Ocean
Saint-Gilles-Croixde-Vie,St Gilles Croix de Vie
St-Jean-de-Monts,St Jean de Monts
Tanchet,Tanchet
Anse-de-Remire,Anse de Rémire (L'apcat)
Ilet-du-Novotel-2,Ilet du Novotel
La-Mere,La Mère
Mahury,Mahury
Saint-Joseph,Saint Joseph (Iles du Salut)
Bali-Hai,Bali Hai
Fare-Left,Fare Left
Fitii,Fitii
Motu-Mahara,Motu Mahara
Parea-Left,Parea Left
Parea-Right,Parea Right
Club-Med_1,Club Med
Cook-Bay,Cook Bay
Haapiti,Haapiti
Hauru-Point,Hauru Point
Papetoai,Papetoai
Temae,Temae
Faaroa,Faaroa
Miri-Miri,Miri-Miri
Nao-Nao,Nao Nao
Pai-Pai,Pai-Pai
Teavapiti,Teavapiti
Turui,Turui
Vaiaau,Vaiaau
Arue-Beach,Arue Beach
Ins-and-Outs,Ins and Outs
Mahoti-Reef,Mahoti Reef
Maraa_1,Maraa
Mataval-Bay,Mataval Bay
Motuau-Island,Motuau Island
Orofara-Beach,Orofara Beach
Paea,Paea
Papara,Papara Beach
Papeete-Harbour,Papeete Harbour
Papenoo-Beach,Papenoo Beach (Chinaman's Bay)
Papenoo-Rivermouth_1,Papenoo Rivermouth (L'Embouchure)
Passde-Maraa,Passe de Maraa
Pine-Trees_1,Pine Trees (Sunset)
Pirae,Pirae
Pointde-Pecheurs,Point de Pecheurs (Sapunis)
Point-Venus-Reef,Point Venus Reef
Rocky-Point_5,Rocky Point
Taapuna_1,Taapuna
Teahupoo,Teahupoo
Vairao_1,Vairao
Fermeaux-Crocos,Ferme aux Crocos
Gueque,Gueque
Ngombe,Ngombe
Cap-Lopez,Cap Lopez
Fermeaux-Cochons,Ferme aux Cochons
Olende,Olende
Palplanche,Palplanche
Petit-Loango,Petit Loango
P-G2,PG2
Plagedu-Dahu,Plage du Dahu
Kololi-Kotu-Kombo,Kololi Kotu Kombo
Senegambia-Beach,Senegambia Beach
Brandenburg-Westerland,Brandenburg Westerland (Sylt)
Buhne-Kampen,Buhne Kampen (Sylt)
F-K-K-Stand,FKK Stand
Jugendbad,Jugendbad
Kilometerstein-Vier-Hornum,Kilometerstein Vier Hornum (Sylt)
Norderney,Norderney
Nordseeklinik-Westerland,Nordseeklinik Westerland (Sylt)
Oasezur-Sonne-Westerland,Oase zur Sonne Westerland (Sylt)
Sansibar-Rantum,Sansibar Rantum (Sylt)
St-Peter-Ording,St Peter Ording
Sturmhaube-Kampen,Sturmhaube Kampen (Sylt)
Damp,Damp
Dazendorf,Dazendorf
Fehmarn,Fehmarn
Hohwachter-Bucht,Hohwachter Bucht
Pelzerhaken,Pelzerhaken
Akwaadi,Akwaadi
Axim,Axim
Busua-Beach,Busua Beach
Cape-Three-Points,Cape Three Points
Dixcove,Dixcove
Elmina,Elmina
Fete,Fete
Fort-Good-Hope,Fort Good Hope
Fort-Sebastian,Fort Sebastian
Katakor,Katakor
Kokrobite,Kokrobite
Labadi-Beach,Labadi Beach
Miemia,Miemia
Mumford,Mumford
Mutrakni-Point,Mutrakni Point
Nyanyanu,Nyanyanu
Prampram,Prampram (Greater Accra)
Princes-Town,Princes Town
St-Charles,St Charles
Takoradi,Takoradi
Turtle-Beach-1,Turtle Beach
University,University
Abrami-Beach,Abrami Beach (Naxos)
Acropolis-Rhodos,Acropolis (Lindos Rhodos)
Agios-Dimitros,Agios Dimitros
Agios-Ioannis,Agios Ioannis
Kos-Theologos,Agios Theologos (Kos)
Andros-Chora,Andros (Chora)
Andros-Ateni-Beach,Andros Ateni Beach
Appollonas-Naxos,Apollonas (Naxos)
Ikaria-Armenistis,Armenistis (Ikaria)
Chorefto,Chorefto
Golden-Beach-Thassos,Golden Beach (Thassos)
Hiliadou-Evia,Hiliadou or Paradia Chiladou (Evia)
Ilias-Madraki,Ilias Madraki (Skiathos)
Kalamitsi,Kalamitsi
Tinos-Kolimbithres,Kolimbithres West (Tinos)
Kolympithra-East-Tinos,Kolympithra East (Tinos)
Kolympithra-West-Tinos,Kolympithra West (Tinos)
Leivada-Tinos,Leivada (Tinos)
Ios-Plakoto,Megalo Plakoto (Ios)
Metohi-Evia,Metohi or Paralia Metochiou (Evia)
Mircos-Point,Mircos Point (Theologos)
Paradise-Beach-Thassos,Paradise Beach (Thassos)
Poseidi,Poseidi
Prasonisi-East-Beach,Prasonisi East Beach
Prasonisi-West-Beach,Prasonisi West Beach
Sarti-Beach,Sarti Beach
Chios-Sfikounta-beach,Sfikounta Beach (Chios)
Skiathos-Vasilias,Skiathos - Vasilias
Small-King,Small King (Skiathos)
Stomio-Larissa,Stomio (Larissa)
Sykia-Beach,Sykia Beach
Ulumitsu-Athens,Ulumitsu or Agios Dimitrios (Athens)
Vari,Vari
Vouliagmeni,Vouliagmeni
Agia-Marina-Platanias,Agia Marina or Platanias
Almiros-Beach,Almiros Beach
Falasarna,Falasarna
Milatos-left,Milatos Left
Milatos-right,Milatos Right
Preveli,Preveli
Stalida-Beach,Stalida Beach or Stalis
Stomio,Stomio (Crete)
Tholos,Tholos
Alykes,Alykes - Zakynthos
Ammes-Beach,Ammes Beach Kefalonia
Amoudia-left,Amoudia Left
Amoudia-Right,Amoudia Right
Arila-Right,Arila Right
Glifada-Corfu,Glyfada (Corfu)
Kastro-Point,Kastro Point (Parga)
Kastrosikia-spot,Kastrosikia
Kerentza,Kerentza
Krioneri-Parga,Krioneri (Parga)
Lassi,Lassi or Makris Gialos
Little-Bay,Little Bay
Lourdas-Beach,Lourdata or Lourdas Beach
Loutsa,Loutsa
Lygia-Preveza,Lygia (Preveza)
Lygia-reef,Lygia reef
Mitikas-Reef,Mitikas Reef
San-Stefano,San Stefano (Corfu)
Shark-reef,Shark reef
Stonebread,Stonebread
Teris-Point-Lygias,Teris Point (Lygias)
Tis-Poutanas_to_Kangelo,Tis Poutanas to Kangelo (Nikos)
Agamemnon-Island,Agamemnon Island
Agrili,Agrili
Bouka-Costa-Navarino,Bouka (Costa Navarino)
Foinikounta,Foinikounta
Ikaria-Mesakti-Beach,Ikaria Mesakti Beach
Kalo-Nero,Kalo Nero
Koroni-right,Koroni Right
Lakouvardos,Lakouvardos or Lagkouvardos
Lousta,Lousta
Marmari-Mani,Marmari (Mani)
Palouki,Palouki
Tsapi-Beach,Tspai Beach
Voidokoilia,Voidokoilia
Zaga,Zaga (Koroni)
Cherry-Hill-1,Cherry Hill
Alize,Alize
Anse-A-La-Barque_2,Anse A La Barque
Anse-A-la-Bouelle,Anse A la Bouelle
Ansea-La-Gourde,Anse a La Gourde
Anse-Bertrand-1,Anse Bertrand
Anse-Salabouelle,Anse Salabouelle
Antigues-Cape,Antigues Cape
Bananier,Bananier
Caille-Dehors,Caille Dehors
Caravelle,Caravelle
Hotel-Novotel,Hotel Novotel
L-Abbatoir,L'Abbatoir
La-Caravelle,La Caravelle
La-Chaise,La Chaise
La-Perle,La Perle
La-Station,La Station
Le-Moule,Le Moule
Petit-Havre,Petit Havre
Plombier,Plombier
Pointedes-Chateaux,Pointe des Chateaux
Port-Francois-Harbour,Port Francois Harbour
Port-Louis-1,Port Louis
Boat-Basin-Lefts,Boat Basin Lefts
Boat-Basin-Rights,Boat Basin Rights
Graveyards_6,Graveyards
Leftovers_1,Leftovers
Magoos,Magoos
Mangandas,Mangandas
Mutungs,Mutungs
Pickop-s-Point,Pickop's Point
Point-Perfection,Point Perfection
Ricks-Reef,Ricks Reef
Right-and-Left-Side,Right and Left Side
Talofofo,Talofofo/The Bay
Threes,Threes
Tubeys,Tubeys/Point Death
Umatac,Umatac
Ylig,Ylig
Barredela-Gabina,Barre de la Gabina
Champerico,Champerico
Chulamar,Chulamar
El-Paredon,El Paredon
Iztapa,Iztapa
La-Barra_1,La Barra
La-Barrita,La Barrita
Las-Lisas,Las Lisas
Monterrico,Monterrico
Ocos,Ocos
Puerto-San-Jose,Puerto San Jose
Sipacate,Sipacate
Tecojate,Tecojate
Tilapa,Tilapa
Tulate,Tulate
Jacmel,Jacmel
Palma-Real,Palma Real
Eyvik,Eyvik
Garur,Garur
Grindavik-Antenas,Grindavik Antenas
Grindavik-Lighthouse,Grindavik Lighthouse ( Hopsnesta)
Grotta,Grotta
Hafnarfjordur,Hafnarfjordur
Hafnir,Hafnir
Sandvik,Sandvik
Porlackshofn,Þorlákshöfn or Porlackshofn
Butlers-Bay,Butlers Bay (South Andaman)
Corbyns-Cove,Corbyns Cove (South Andaman)
Jackson-Creek,Jackson creek (Little Andaman)
Jarawa-Point,Jarawa Point (Totems Reef)
Kumari-Point,Kumari Point (Little Andaman)
Sentinel,Sentinel (South Andaman)
Tochangeou,Tochangeou (Little Andaman)
Twin-Islands,Twin Islands (South Andaman)
Godavari-River-Bar,Godavari River Bar
Hanuman-Point,Hanuman Point (Tenneti Park)
Konada-Bar,Konada Bar
Krishna-River,Krishna River
Miracle-Point,Miracle Point
Thotlakonda-Point,Thotlakonda Point
Vizag-East-Point,Vizag (Visakapatanam) - East Point
Arambol,Arambol
Benaulim-Beach,Benaulim Beach
Betalbatim-Beach-Taj,Betalbatim Beach Taj
Dwarka-Beach,Dwarka Beach
Gokarna-Beach,Gokarna Beach
Kaup-Beach,Kaup Beach
Kudle-Beach,Kudle -Beach (Gokarna)
Maravanthe-Beach,Maravanthe Beach
Murudeshwara-Beach,Murudeshwara Beach
Om-Beach,Om Beach (Gokarna)
Boar-Rice,Boar Rice
Kovalam,Kovalam
Varkala,Varkala
Puri-Beach,Puri Beach
Akkarai-Beach,Akkarai Beach
Pondichery,Auroville (Pondichery)
Covelong-Point,Covelong Point
Mahabalipuram,Mahabalipuram (Shore Temple)
Manapad-Point-Alwars,Manapad Point (Alwars)
Rameswaram,Rameswaram
Repos-Beach,Repos Beach (Pondicherry)
Tiruchendur,Tiruchendur
Balian,Balian
Canggu,Canggu
Medewi,Medewi
Pererenan,Pererenan
Airport-Lefts,Airport Lefts
Airport-Rights_2,Airport Rights
Blue-Ocean,Blue Ocean
Halfway,Halfway
Kuta-Beach,Kuta Beach
Kuta-Reef,Kuta Reef
Legian-Beach,Legian Beach
Padma,Padma
Ceningan-Point,Ceningan Point
Lacerations,Lacerations (Nusa Lembongan)
Playgrounds,Playgrounds (Nusa Lembongan)
Shipwrecks,Shipwrecks (Nusa Lembongan)
Keramas-Beach,Keramas
Ketewel,Ketewel
Padangbai,Padangbai
Sanur-Grand-Hyatt,Sanur - Grand Hyatt
Sanur-Reef,Sanur Reef
Tandjung-Lefts,Tandjung-Lefts
Tandjung-Rights,Tandjungs-Rights
Balangan,Balangan
Bingin,Bingin
Dreamland,Dreamland
Green-Ball,Green Ball
Impossibles,Impossibles
Nusadua,Nusa dua
Nyang-Nyang,Nyang-Nyang
Outside-Corner,Outside Corner
Padang-Padang,Padang Padang
Racetrack,Racetrack
Sri-Lanka,Sri Lanka
Temples,Temples
The-Bombie,The Bombie
The-Peak_2,The Peak
Uluwatu,Uluwatu
